ID,field_2,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"90",Danforth Village-East York,"486860","436885","391543","537382","427374","0","0","468801","90","468801"
"108",Don Valley Village/Pleasant View,"585321","428708","330717","548393","413936","258984","0","429971","108","429971"
"67",Dovercourt/Davenport/Junction,"540574","425311","419630","516065","444162","348333","363337","461330","67","461330"
"104",Dufferin Grove/Little Portugal,"640319","546916","535657","646094","583782","302876","0","559455","104","559455"
"72",L'Amoreaux/Steeles/Milliken,"501387","356755","298094","472960","406567","240318","342061","389200","72","389200"
"30",L'Amoreaux/Steeles/Milliken,"501387","356755","298094","472960","406567","240318","342061","389200","30","389200"
"79",Little Italy/Trinity-Bellwoods,"764474","632272","555509","653319","653698","397253","646264","633582","79","633582"
"84",Moss Park/Regent Park,"0","636364","585307","711438","511858","368690","0","451915","84","451915"
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"414486","417255","284076","362980","318938","159481","0","324296","152","324296"
"90",Playter Estates-Danforth,"702747","516256","569836","745942","582805","0","573035","600189","90","600189"
"88",Riverdale,"666232","606456","567104","665493","527519","419166","532250","587261","88","587261"
"156",Rustic/Pelmo Park/Humberlea,"537164","380622","360014","388648","392424","141229","0","489696","156","489696"
"63",University/Annex,"1037905","907003","792618","773536","777120","690427","1073107","803595","63","803595"
"117",Willowdale West/Newtonbrook West,"663947","433507","480563","618437","377150","348479","0","515022","117","515022"
"91",Woodbine Corridor/Greenwood-Coxwell,"502953","443326","471978","479427","446122","230652","430928","460547","91","460547"
