Toronto — Average Value of Owner-occupied Dwellings ($)  
2016
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Lawrence Park South,"1,953,066","1,025,905","937,240","1,863,628","737,234","797,554",0,"1,765,046",
Leaside-Bennington,"1,544,423","876,333","936,502",0,"649,716","414,135",0,"1,347,991",
Little Italy/Trinity-Bellwoods,"1,203,442","865,844","977,886","1,006,680","1,021,519","477,151","948,079","972,057",
Long Branch,"805,373","589,839","704,450","803,594","550,634","304,536",0,"678,386",
Malton,"545,893","298,752","434,963","552,087","469,462","204,128",0,"465,339",
Maple Leaf,"827,983","513,803","538,364","781,171","456,876",0,0,"764,400",
Markham,"1,034,441","643,290","709,897","854,501","456,556","412,731",0,"893,165",
Meadowvale,"664,550","384,829","509,926","638,056","428,035","237,115",0,"562,586",
Milton/Halton Hills,"683,039","447,032","524,885","539,040","353,591","345,815",0,"618,058",
Mimico,"723,707","744,801","626,484","713,009","579,477","463,060",0,"561,525",
Mississauga Centre/Streetsville,"769,205","473,180","571,537","778,313","402,635","302,003","173,360","582,046",
Moore Park,"2,003,692","1,209,547","1,441,415","1,751,563","1,436,228","1,022,046",0,"1,604,736",
Morningside,"606,181","353,172","527,593","570,067","273,450","218,640",0,"505,994",
Moss Park/Regent Park,"1,032,171","776,667","1,116,487","1,200,311","625,264","469,333",0,"566,032",
Mount Dennis,"506,812","572,780","471,319","475,151","398,604","251,422",0,"419,426",
Mount Olive-Silverstone-Jamestown/Thistletown,"595,065","395,748","479,362","600,469","497,207","240,225",0,"466,658",
Mount Pleasant East,"1,324,018","929,472","955,365","1,043,547","836,265","466,272",0,"1,104,748",
Mount Pleasant West,"1,275,085","1,020,699","976,934","1,315,290","635,472","541,100",0,"656,001",
New Toronto,"691,809","463,357","600,153","691,935","579,513","252,896",0,"622,174",
North St. James Town,0,"832,942",0,0,"540,811","487,847",0,"544,475",
Oakridge,"524,187",0,"468,880","531,432","525,188","282,025",0,"473,590",
Oakville (excl. Bronte),"1,029,120","590,410","586,361","780,505","385,170","448,655",0,"895,069",
Oakwood-Vaughan,"722,054",0,"649,463","776,198","683,687",0,0,"699,530",
O'Connor-Parkview,"803,837","557,333","564,537","666,218","654,319","258,406",0,"746,882",
Old East York,"825,189",0,"622,622","707,466","808,337",0,0,"799,149",
Orangeville/Mono,"541,537","320,303","342,507","515,101","394,512","230,235",0,"501,890",
Parkwoods-Donalda,"1,117,662","429,419","600,138","996,860","648,003","280,603",0,"786,733",
Playter Estates-Danforth,"1,068,494","832,549","780,304","1,003,646","821,335",0,"874,571","890,908",
Port Credit,"935,771","604,174","559,657","898,898","693,335","422,814",0,"815,704",
Princess-Rosethorn,"1,239,041",0,0,"896,637",0,0,0,"1,235,861",
Rexdale-Kipling,"556,010",0,"508,538","528,345","778,636",0,0,"550,915",
Richmond Hill/Vaughan/King,"1,084,002","669,043","685,348","962,928","501,257","410,818","721,369","941,097",
Riverdale,"1,019,564","732,227","809,208","867,934","743,603","506,357","960,140","795,410",
Rockcliffe-Smythe,"564,232","392,501","608,101","526,120","586,766","346,586",0,"527,343",
Roncesvalles,"1,029,611","795,127","834,886","960,438","858,564","476,021",0,"854,759",
Rosedale,"2,875,198","2,118,659","2,174,265","2,371,626","957,980","763,591",0,"1,735,666",
Rouge,"736,471","472,280","523,791","714,754","487,741","261,143",0,"681,729",
Rustic/Pelmo Park/Humberlea,"727,843","455,802","722,837","701,488","681,449","265,329",0,"688,175",
Scarborough Village,"820,565","447,039","516,019","810,085","245,823","202,611",0,"499,068",
South Parkdale/King West,"1,052,637","678,136","944,364","796,737","700,849","441,607","813,597","527,243",
St. Andrew-Windfields,"2,240,018","746,213","774,633","1,514,413","1,439,566","624,815",0,"1,821,032",
Stonegate-Queensway,"967,981","730,674","627,407","943,265","644,929","564,298",0,"914,699",
Tam O'Shanter-Sullivan,"767,035","411,265","564,035","618,485","461,494","353,389",0,"598,367",
The Beaches,"1,348,754","904,158","932,032","1,308,606","869,587","630,266",0,"1,096,182",
Thorncliffe Park,0,"618,439",0,0,"503,574","321,522",0,"372,276",
University/Annex,"1,729,787","1,133,777","1,340,138","1,417,255","1,272,164","1,032,386","1,058,651","1,228,133",
Uxbridge,"690,307","433,933","453,458","554,195","354,880",0,0,"663,689",
Victoria Village,"840,451","628,201","591,319","433,640","306,053","273,956",0,"558,131",
Waterfront Communities -The Island,"447,213","708,941","848,622",0,"1,250,159","527,435",0,"534,216",
West Hill,"583,106","373,216","463,975","560,363","385,104","191,119","476,720","480,008",
West Humber-Clairville,"599,488","372,890","523,028","576,749","610,068","270,012",0,"521,326",
Westminster-Branson,"950,491","504,230","577,205","757,159","598,687","367,184",0,"547,095",
