Toronto — Average Value of Owner-occupied Dwellings ($)  
2011
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Agincourt/Malvern,"419,718","362,225","286,711","384,207","344,484","191,951","313,332","351,513",
Ajax/Pickering,"406,403","295,617","267,550","401,365","261,654","220,931","616,354","369,557",
Alderwood,"489,760","427,878","379,229","459,718","484,452","298,028",0,"475,742",
Aurora,"563,916","370,934","376,307","472,878","395,533","283,745",0,"507,693",
Banbury-Don Mills/York Mills,"1,368,316","470,583","507,991","851,641","700,778","422,441",0,"970,229",
Bathurst Manor,"631,027","449,906","410,767","578,770","514,805","316,823",0,"557,627",
Bay Street Corridor,0,0,0,0,"420,292","468,900",0,"470,996",
Bayview Village,"845,016","586,611","373,858","944,339","437,123","405,413",0,"599,520",
Bayview Woods-Steeles/Hillcrest Village,"676,599","412,992","344,740","565,654","361,233","423,674",0,"506,530",
Bedford Park-Nortown,"1,147,067","930,428","706,060","1,051,648","822,424","498,195",0,"1,034,387",
Beechborough-Greenbrook,"458,643","392,963",0,"347,735",0,"195,396",0,"412,378",
Bendale,"372,675","299,906","314,776","344,847","335,734","261,074","258,979","334,773",
Birchcliffe-Cliffside,"504,122","381,848","421,231","494,803","376,235","388,314","351,093","486,184",
Black Creek,"441,059","370,909","271,538","468,620","343,800","177,715",0,"344,662",
Bradford/West Gwillimbury/New Tecumseth,"372,210","275,485","231,955","315,360","184,558","236,568","161,520","348,791",
Brampton (East),"482,683","345,001","289,615","432,785","315,960","194,821",0,"416,334",
Brampton (West),"421,888","325,888","302,292","403,668","313,938","233,444",0,"384,317",
Briar Hill-Belgravia,"464,004","447,619","445,702","491,659","397,666","239,335",0,"406,371",
Broadview North,"561,234","450,029","557,417","511,934","506,653","393,775",0,"492,919",
Bronte,"574,967","535,102","464,916","587,452","467,251","411,774",0,"545,209",
Brookhaven-Amesbury,"470,939","376,815",0,"487,434","297,343","177,017",0,"390,160",
Cabbagetown-South St. James Town,"796,184","753,976","700,874","857,673","631,943","333,367",0,"549,326",
Caledon,"539,965","338,999","337,292","417,703","429,376","686,612",0,"518,793",
Caledonia-Fairbank,"403,822","401,773",0,"376,709","445,947",0,0,"402,135",
Casa Loma,"1,637,880","1,041,850","1,038,772","2,103,033","617,498","629,349",0,"1,090,696",
Churchill Meadows/Erin Mills,"595,199","408,617","349,261","484,602","326,393","280,241",0,"490,420",
Church-Yonge Corridor,0,"466,236","749,155","668,339","679,470","431,737",0,"451,500",
Clairlea-Birchmount,"396,326","400,102","410,963","406,931","334,858","507,462","337,821","394,176",
Clanton Park,"684,405",0,0,"582,447","546,584","302,203",0,"613,197",
Clarkson/Lorne Park,"756,381","331,412","317,283","421,037","290,111","283,731",0,"593,816",
Cliffcrest,"488,483","273,059","359,878","397,816","369,361","272,567",0,"464,068",
Cooksville,"657,818","361,499","320,672","542,510","357,206","214,684",0,"520,555",
Crescent Town,"411,310","379,504","286,074","382,826","225,399","159,528","306,523","266,168",
Danforth Village-East York,"486,860","436,885","391,543","537,382","427,374",0,0,"468,801",
Don Valley Village/Pleasant View,"585,321","428,708","330,717","548,393","413,936","258,984",0,"429,971",
Dorset Park,"355,304","284,662","306,604","348,031","300,668","175,577",0,"291,278",
Dovercourt/Davenport/Junction,"540,574","425,311","419,630","516,065","444,162","348,333","363,337","461,330",
Downsview,"469,173","360,391","282,147","405,412","460,238","167,255",0,"380,731",
Dufferin Grove/Little Portugal,"640,319","546,916","535,657","646,094","583,782","302,876",0,"559,455",
East End-Danforth,"579,558","491,267","511,856","525,654","545,052","189,184",0,"531,476",
East Gwillimbury/Newmarket,"464,793","327,292","317,050","402,277","298,427","240,056","318,751","427,701",
Edenbridge-Humber Valley,"1,034,639","422,124","365,398","1,510,404","445,291","324,566",0,"885,132",
Eglinton East,"375,199","357,942","289,828","369,572","377,636","187,654","319,267","299,023",
Elms-Old Rexdale,"366,593","321,349","212,101","466,201","362,285","152,282",0,"298,328",
Englemount-Lawrence,"821,543",0,"416,558","776,677","364,741","336,566",0,"632,514",
Eringate-Centennial-West Deane,"522,718","428,908","379,162","458,418",0,"206,739",0,"442,233",
Etobicoke West Mall,"594,777","393,482","336,978","507,683",0,"231,822",0,"399,598",
Flemingdon Park,0,"609,786","397,146",0,"187,755","213,703",0,"231,020",
Forest Hill North,"1,111,728","1,033,396",0,"519,280",0,"240,156",0,"946,854",
Forest Hill South,"1,739,364","919,978","853,957","1,851,256","719,970","439,973",0,"1,435,459",
Georgina,"309,583","278,255","261,163","336,531","233,885",0,"243,960","306,344",
Guildwood,"446,286","312,377","289,888","411,742",0,"340,999",0,"410,650",
Henry Farm,"725,290",0,"320,312",0,0,"195,502",0,"411,300",
High Park North/Junction,"712,775","505,274","421,564","653,583","568,244","361,367",0,"569,168",
High Park-Swansea,"869,591","622,866","434,287","862,062","655,203","320,172",0,"648,124",
Humber Heights-Westmount,"616,593","408,223","501,304","545,687",0,"263,191",0,"499,342",
Humewood-Cedarvale,"865,650","528,505",0,"673,056","471,968","553,747",0,"750,172",
Ionview,"365,246","296,639","312,012","360,432","306,332","161,036",0,"319,834",
Islington/City Centre North,"685,095","419,889","447,897","460,421","271,144","366,545",0,"541,107",
Islington/City Centre South,"603,446","477,588","542,437","517,528","645,052","298,023",0,"473,716",
Keelesdale-Eglinton West,"376,097","375,323",0,"346,497","298,653","181,673",0,"358,844",
Kennedy Park,"358,823","364,204","335,585","412,249","319,080","198,501",0,"319,331",
Kensington-Chinatown,"710,579","707,237","579,736","546,180","519,196","395,815",0,"489,709",
Kingsview Village-The Westway,"501,681","320,692","365,031","538,190",0,"188,588",0,"376,154",
Kingsway South,"1,046,440","482,240","512,485","1,519,143","960,709","535,385",0,"937,464",
Lambton Baby Point,"732,679","446,956","463,618","696,360","477,003",0,0,"632,512",
L'Amoreaux/Steeles/Milliken,"501,387","356,755","298,094","472,960","406,567","240,318","342,061","389,200",
Lansing-Westgate,"870,976","450,245",0,"688,522","436,573","383,678",0,"681,742",
Lawrence Park North,"918,831","674,347","910,246","746,970","656,225","431,591",0,"844,253",
Lawrence Park South,"1,321,739","683,758",0,"1,556,819","503,328","606,203",0,"1,216,283",
Leaside-Bennington,"1,007,155","650,682","664,354","775,043","379,900","387,472",0,"896,593",
Little Italy/Trinity-Bellwoods,"764,474","632,272","555,509","653,319","653,698","397,253","646,264","633,582",
Long Branch,"477,622","460,890","424,381","515,279","346,142","218,082",0,"428,946",
Malton,"365,674","309,815","233,146","335,640","315,157","154,950","227,100","318,972",
Maple Leaf,"534,201","403,439","366,337","445,586","335,151",0,0,"503,876",
Markham,"608,503","458,893","408,429","485,816","344,945","332,381",0,"547,560",
Meadowvale,"466,260","354,706","274,667","417,876","346,480","196,415",0,"395,987",
Milton/Halton Hills,"500,981","360,137","308,784","392,130","256,445","246,282","284,789","453,490",
Mimico,"468,320","430,812","510,150","406,349","451,628","405,447",0,"437,462",
Mississauga Centre/Streetsville,"551,228","399,573","335,871","481,425","293,498","244,238","179,691","420,104",
Moore Park,"1,442,166","952,636","903,462","1,041,327","855,113","645,273",0,"1,108,563",
Morningside,"376,511","343,681","223,536","373,208","149,367","152,845",0,"320,389",
Moss Park/Regent Park,0,"636,364","585,307","711,438","511,858","368,690",0,"451,915",
Mount Dennis,"350,785","378,176","298,124","333,195","318,889","180,337",0,"291,621",
Mount Olive-Silverstone-Jamestown/Thistletown,"414,486","417,255","284,076","362,980","318,938","159,481",0,"324,296",
Mount Pleasant East,"891,946","681,628","650,813","865,186","556,779","318,189",0,"753,065",
Mount Pleasant West,"955,565","660,407","632,407","774,356","483,452","445,051",0,"520,500",
New Toronto,"485,676","432,054","361,308","448,277","456,253","237,762",0,"453,384",
North St. James Town,0,0,"605,760",0,"470,713","411,771",0,"457,435",
Oakridge,"365,589","298,548",0,"343,647","370,726","209,806",0,"331,652",
Oakville (excl. Bronte),"690,961","383,198","406,009","519,215","270,839","342,530","614,122","606,156",
Oakwood-Vaughan,"498,257","415,224",0,"456,273","451,027",0,0,"469,444",
O'Connor-Parkview,"538,989","330,071","355,679","448,232","421,223","186,954",0,"490,506",
Old East York,"508,752","421,700",0,"437,931","397,827",0,0,"492,964",
Orangeville/Mono,"403,450","236,864","227,887","376,665","361,045","196,668",0,"371,859",
Parkwoods-Donalda,"685,267","437,366","278,612","563,092","384,042","217,542",0,"505,459",
Playter Estates-Danforth,"702,747","516,256","569,836","745,942","582,805",0,"573,035","600,189",
Port Credit,"630,165","368,633","507,834","620,021","605,028","326,315","808,255","564,062",
Princess-Rosethorn,"851,571",0,0,"613,571",0,0,0,"851,317",
Rexdale-Kipling,"415,089","326,282",0,"328,646","289,211",0,0,"401,340",
Richmond Hill/Vaughan/King,"666,186","440,278","424,935","539,683","346,648","311,086",0,"591,211",
Riverdale,"666,232","606,456","567,104","665,493","527,519","419,166","532,250","587,261",
Rockcliffe-Smythe,"418,412","354,639","344,146","522,545","492,165","241,284",0,"384,287",
Roncesvalles,"653,400","544,602","507,530","636,046","536,866","359,571",0,"565,810",
Rosedale,"2,118,906","1,728,665","1,505,105","1,152,888","913,705","571,480",0,"1,287,138",
Rouge,"476,167","331,247","351,475","390,784","331,362","182,693",0,"442,254",
Rustic/Pelmo Park/Humberlea,"537,164","380,622","360,014","388,648","392,424","141,229",0,"489,696",
Scarborough Village,"542,671","335,753","301,241","839,782","204,138","190,677",0,"366,694",
South Parkdale/King West,"835,898","634,140","473,655","406,484","485,875","379,599",0,"422,056",
St. Andrew-Windfields,"1,306,720","543,251","564,626","1,125,458",0,"535,733",0,"1,110,755",
Stonegate-Queensway,"639,717","428,688","538,852","526,377","371,776","455,473",0,"611,942",
