ID,Neighbourhoods,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"52",Oakwood-Vaughan,"722054","0","649463","776198","683687","0","0","699530","52","699530"
"131",O'Connor-Parkview,"803837","557333","564537","666218","654319","258406","0","746882","131","746882"
"98",Old East York,"825189","0","622622","707466","808337","0","0","799149","98","799149"
"14",Parkwoods-Donalda,"1117662","429419","600138","996860","648003","280603","0","786733","14","786733"
"89",Playter Estates-Danforth,"1068494","832549","780304","1003646","821335","0","874571","890908","89","890908"
"145",Princess-Rosethorn,"1239041","0","0","896637","0","0","0","1235861","145","1235861"
"151",Rexdale-Kipling,"556010","0","508538","528345","778636","0","0","550915","151","550915"
"86",Riverdale,"1019564","732227","809208","867934","743603","506357","960140","795410","86","795410"
"77",Rockcliffe-Smythe,"564232","392501","608101","526120","586766","346586","0","527343","77","527343"
"102",Roncesvalles,"1029611","795127","834886","960438","858564","476021","0","854759","102","854759"
"60",Rosedale,"2875198","2118659","2174265","2371626","957980","763591","0","1735666","60","1735666"
"125",Rustic/Pelmo Park/Humberlea,"727843","455802","722837","701488","681449","265329","0","688175","125","688175"
"24",Scarborough Village,"820565","447039","516019","810085","245823","202611","0","499068","24","499068"
"103",South Parkdale/King West,"1052637","678136","944364","796737","700849","441607","813597","527243","103","527243"
"113",St. Andrew-Windfields,"2240018","746213","774633","1514413","1439566","624815","0","1821032","113","1821032"
"140",Stonegate-Queensway,"967981","730674","627407","943265","644929","564298","0","914699","140","914699"
"71",Tam O'Shanter-Sullivan,"767035","411265","564035","618485","461494","353389","0","598367","71","598367"
"93",The Beaches,"1348754","904158","932032","1308606","869587","630266","0","1096182","93","1096182"
"130",Thorncliffe Park,"0","618439","0","0","503574","321522","0","372276","130","372276"
"80",University/Annex,"1729787","1133777","1340138","1417255","1272164","1032386","1058651","1228133","80","1228133"
"110",Victoria Village,"840451","628201","591319","433640","306053","273956","0","558131","110","558131"
"40",Waterfront Communities -The Island,"447213","708941","848622","0","1250159","527435","0","534216","40","534216"
"26",West Hill,"583106","373216","463975","560363","385104","191119","476720","480008","26","480008"
