ID,Neighbourhoods,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"98",Old East York,"391925","396828","0","0","406199","363639","0","392866","98","392866"
"14",Parkwoods-Donalda,"536523","313246","251590","188236","419358","296178","0","403292","14","403292"
"89",Playter Estates-Danforth,"588842","392469","460519","0","492662","425452","0","466288","89","466288"
"145",Princess-Rosethorn,"705273","0","0","0","489027","0","0","701606","145","701606"
"151",Rexdale-Kipling,"346690","250050","0","0","306672","300627","0","338042","151","338042"
"86",Riverdale,"475319","378291","351145","332798","440255","373198","405380","393663","86","393663"
"77",Rockcliffe-Smythe,"309639","312630","148705","215128","295242","387321","0","296010","77","296010"
"102",Roncesvalles,"446056","392604","368450","274101","409496","408996","0","403121","102","403121"
"60",Rosedale,"1779140","1206734","1074732","466206","1401195","574898","0","1047059","60","1047059"
"125",Rustic/Pelmo Park/Humberlea,"406222","402277","268501","267223","368707","335822","0","394171","125","394171"
"24",Scarborough Village,"455131","266576","282398","164272","315427","180484","0","303643","24","303643"
"103",South Parkdale/King West,"498127","396483","347090","266185","402842","357930","0","320767","103","320767"
"113",St. Andrew-Windfields,"1015437","392475","429371","401815","991114","361318","0","850785","113","850785"
"140",Stonegate-Queensway,"499118","282145","460232","346840","381284","368877","0","480386","140","480386"
"71",Tam O'Shanter-Sullivan,"407079","297136","241131","261725","359622","319517","0","346741","71","346741"
"93",The Beaches,"711146","517112","464653","434581","630102","472404","0","591038","93","591038"
"130",Thorncliffe Park,"0","0","295875","197454","0","0","0","218923","130","218923"
"80",University/Annex,"885045","639737","563550","536325","698368","645547","0","627902","80","627902"
"110",Victoria Village,"451454","430468","286297","187303","398815","207966","0","330452","110","330452"
"40",Waterfront Communities-The Island,"201520","466224","342288","317425","0","498586","0","321437","40","321437"
"26",West Hill,"318413","254504","198482","148517","398492","210102","0","274324","26","274324"
"154",West Humber-Clairville,"342267","289141","240184","170246","413224","330000","0","328160","154","328160"
"118",Westminster-Branson,"547591","339700","315262","253311","393936","321439","0","338055","118","338055"
"75",Weston,"336878","306167","313288","169660","324742","346870","0","297650","75","297650"
"70",Wexford-Maryvale,"322403","0","235511","205877","357913","302706","0","323062","70","323062"
"134",Willowdale East/Newtonbrook East,"617218","436138","481746","278103","604201","355891","253644","419330","134","419330"
"116",Willowdale West/Newtonbrook West,"503413","357446","365498","259517","432585","304123","0","413958","116","413958"
"148",Willowridge-Martingrove-Richview,"443341","322762","523173","306580","425763","330242","0","423008","148","423008"
"21",Woburn,"303691","234224","0","197595","322011","328653","0","280822","21","280822"
"92",Woodbine Corridor/Greenwood-Coxwell,"354800","332705","307637","232724","340650","318335","0","332160","92","332160"
"96",Woodbine-Lumsden,"293382","266928","307291","165356","309790","315997","0","290520","96","290520"
"64",Wychwood,"636836","373253","277192","221646","667171","422851","0","471284","64","471284"
"58",Yonge-Eglinton,"800672","483938","0","347792","668813","539348","0","694793","58","694793"
"61",Yonge-St.Clair,"974234","829266","765948","546258","733693","684754","0","714592","61","714592"
"122",Yorkdale-Glen Park,"457330","399067","254353","126558","427670","421349","0","382889","122","382889"
"38",Toronto,"466322","336376","294838","404793","354940","254436","384065","403092","38","403092"
"17",Agincourt/Malvern,"363136","313552","265419","178583","352759","293603","0","311649","17","311649"
"18",Agincourt/Malvern,"363136","313552","265419","178583","352759","293603","0","311649","18","311649"
"136",Bayview Woods-Steeles/Hillcrest Village,"533790","338218","285248","367494","476067","300935","0","413859","136","413859"
"90",Danforth Village-East York,"349801","320536","338155","0","403641","340301","0","344486","90","344486"
"108",Don Valley Village/Pleasant View,"456500","371000","283867","215595","400678","350801","0","354840","108","354840"
"67",Dovercourt/Davenport/Junction,"366281","325577","307310","233840","375167","328955","360525","337641","67","337641"
"104",Dufferin Grove/Little Portugal,"420295","390983","340509","204560","446565","376148","0","379608","104","379608"
"72",L'Amoreaux/Steeles/Milliken,"394055","293458","259152","202151","346337","339360","0","314642","72","314642"
"30",L'Amoreaux/Steeles/Milliken,"394055","293458","259152","202151","346337","339360","0","314642","30","314642"
"79",Little Italy/Trinity-Bellwoods,"509611","434453","413727","315063","542560","473806","0","454837","79","454837"
"84",Moss Park/Regent Park,"515191","423440","379270","288596","0","381955","0","337696","84","337696"
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"331077","278026","206947","164267","401628","285730","0","276792","152","276792"
"90",Playter Estates-Danforth,"588842","392469","460519","0","492662","425452","0","466288","90","466288"
"88",Riverdale,"475319","378291","351145","332798","440255","373198","405380","393663","88","393663"
"156",Rustic/Pelmo Park/Humberlea,"406222","402277","268501","267223","368707","335822","0","394171","156","394171"
"63",University/Annex,"885045","639737","563550","536325","698368","645547","0","627902","63","627902"
"117",Willowdale West/Newtonbrook West,"503413","357446","365498","259517","432585","304123","0","413958","117","413958"
"91",Woodbine Corridor/Greenwood-Coxwell,"354800","332705","307637","232724","340650","318335","0","332160","91","332160"
