ID,Neighbourhoods,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,ID_,Total_
"32",Agincourt/Malvern,"66.4","41.8","34.5","52.6","0.0","24.2","32",24.2
"137",Alderwood,"54.9","25.0","25.0","40.4","0.0","11.9","137",11.9
"111",Banbury-Don Mills/York Mills,"55.6","21.6","33.3","46.8","0.0","15.5","111",15.5
"119",Bathurst Manor,"67.5","44.0","39.6","54.8","0.0","24.0","119",24.0
"5",Bay Street Corridor,"38.6","35.4","34.4","34.6","0.0","16.4","5",16.4
"133",Bayview Village,"53.4","33.3","44.9","46.4","0.0","20.7","133",20.7
"135",Bayview Woods-Steeles/Hillcrest Village,"62.5","42.2","39.9","54.9","0.0","21.9","135",21.9
"114",Bedford Park-Nortown,"52.5","20.0","37.4","42.8","0.0","13.7","114",13.7
"76",Beechborough-Greenbrook,"84.1","46.5","51.0","65.2","0.0","33.3","76",33.3
"7",Bendale,"64.6","41.7","43.8","52.4","0.0","23.2","7",23.2
"37",Birchcliffe-Cliffside,"63.0","50.6","45.0","54.0","0.0","18.9","37",18.9
"155",Black Creek,"80.3","53.5","53.5","63.0","0.0","34.4","155",34.4
"51",Briar Hill-Belgravia,"70.5","47.6","36.1","54.1","0.0","25.7","51",25.7
"128",Broadview North,"79.6","43.9","53.7","63.3","0.0","33.1","128",33.1
"123",Brookhaven-Amesbury,"81.5","58.6","58.5","66.9","0.0","37.3","123",37.3
"85",Cabbagetown-South St. James Town,"61.4","45.0","52.2","53.3","0.0","23.5","85",23.5
"50",Caledonia-Fairbank,"61.8","35.7","38.8","48.8","0.0","20.0","50",20.0
"62",Casa Loma,"45.0","16.2","29.5","36.9","0.0","14.5","62",14.5
"39",Church-Yonge Corridor,"48.2","36.8","25.0","41.8","0.0","18.9","39",18.9
"69",Clairlea-Birchmount,"66.3","47.5","48.0","54.5","0.0","24.2","69",24.2
"120",Clanton Park,"67.0","34.4","35.5","51.8","0.0","23.0","120",23.0
"36",Cliffcrest,"71.0","46.4","53.1","59.2","0.0","21.6","36",21.6
"97",Danforth Village-East York,"67.0","32.5","40.2","52.3","0.0","18.6","97",18.6
"107",Don Valley Village/Pleasant View,"69.3","36.2","42.7","54.8","0.0","24.5","107",24.5
"33",Dorset Park,"72.0","45.2","44.8","58.0","0.0","30.0","33",30.0
"3",Dovercourt/Davenport/Junction,"63.4","36.1","38.8","51.8","0.0","22.0","3",22.0
"8",Downsview,"75.7","48.9","47.4","59.0","0.0","30.1","8",30.1
