ID,Neighbourhoods,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,ID_,Total_
"105",Dufferin Grove/Little Portugal,"53.4","31.1","33.3","45.3","0.0","21.0","105",21.0
"94",East End-Danforth,"69.6","34.4","57.3","59.5","0.0","22.6","94",22.6
"146",Edenbridge-Humber Valley,"67.6","28.6","42.6","52.8","0.0","19.4","146",19.4
"25",Eglinton East,"79.0","54.8","51.4","61.6","0.0","33.8","25",33.8
"150",Elms-Old Rexdale,"75.9","52.4","50.0","59.7","0.0","29.8","150",29.8
"121",Englemount-Lawrence,"72.8","46.9","40.2","57.5","0.0","28.5","121",28.5
"144",Eringate-Centennial-West Deane,"59.5","28.6","31.5","46.5","0.0","13.5","144",13.5
"142",Etobicoke West Mall,"68.6","30.9","44.1","55.9","0.0","22.1","142",22.1
"109",Flemingdon Park,"84.4","66.0","57.0","67.0","0.0","41.9","109",41.9
"56",Forest Hill North,"69.9","38.8","43.9","54.2","0.0","24.0","56",24.0
"57",Forest Hill South,"49.1","17.6","40.9","39.8","0.0","12.6","57",12.6
"23",Guildwood,"56.6","20.7","33.3","47.9","0.0","13.1","23",13.1
"132",Henry Farm,"65.3","45.7","38.7","51.0","0.0","28.9","132",28.9
"100",High Park North/Junction,"60.2","32.3","38.0","49.7","0.0","19.0","100",19.0
"101",High Park-Swansea,"53.3","30.0","29.8","44.1","0.0","15.2","101",15.2
"147",Humber Heights-Westmount,"63.9","39.6","43.1","54.7","0.0","22.0","147",22.0
"53",Humewood-Cedarvale,"66.5","35.9","42.5","54.3","0.0","23.9","53",23.9
"34",Ionview,"80.8","54.4","46.4","60.5","0.0","31.2","34",31.2
"48",Islington/City Centre North,"63.7","37.6","41.8","51.4","0.0","22.2","48",22.2
"47",Islington/City Centre South,"47.1","22.1","23.7","37.0","0.0","13.3","47",13.3
"78",Keelesdale-Eglinton West,"74.4","42.3","37.7","59.7","0.0","26.9","78",26.9
"35",Kennedy Park,"71.9","53.3","45.9","60.4","0.0","29.2","35",29.2
"81",Kensington-Chinatown,"60.7","47.1","42.8","54.6","0.0","28.6","81",28.6
"149",Kingsview Village-The Westway,"76.3","47.7","54.7","60.3","0.0","29.5","149",29.5
"141",Kingsway South,"27.3","17.2","25.0","23.4","0.0","4.9","141",4.9
"74",Lambton Baby Point,"67.2","44.9","53.6","56.2","0.0","17.3","74",17.3
"16",L'Amoreaux/Steeles/Milliken,"74.6","45.7","42.2","61.9","0.0","28.7","16",28.7
"115",Lansing-Westgate,"52.1","23.8","31.0","41.0","0.0","16.8","115",16.8
"54",Lawrence Park North,"48.5","20.4","23.1","39.6","0.0","9.6","54",9.6
"55",Lawrence Park South,"46.0","17.6","27.0","35.6","0.0","8.9","55",8.9
"129",Leaside-Bennington,"58.2","21.9","37.3","46.2","0.0","11.8","129",11.8
"106",Little Italy/Trinity-Bellwoods,"52.9","29.0","20.0","44.2","0.0","18.3","106",18.3
"138",Long Branch,"70.0","35.6","46.0","56.2","0.0","24.1","138",24.1
"124",Maple Leaf,"74.4","50.0","39.6","54.7","0.0","24.1","124",24.1
"46",Mimico,"56.4","38.5","41.7","49.1","0.0","21.0","46",21.0
"27",Morningside,"74.8","53.4","53.6","60.8","0.0","30.3","27",30.3
"83",Moss Park/Regent Park,"57.2","62.1","55.7","56.4","0.0","25.7","83",25.7
"73",Mount Dennis,"80.1","48.1","53.0","63.7","0.0","36.0","73",36.0
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"78.7","57.9","48.7","60.2","0.0","34.3","153",34.3
"59",Mount Pleasant East,"59.7","21.3","30.6","47.9","0.0","15.6","59",15.6
"139",New Toronto,"71.9","37.5","45.8","60.1","0.0","27.5","139",27.5
"82",North St. James Town,"75.9","61.3","51.5","62.7","0.0","37.0","82",37.0
"68",Oakridge,"84.6","65.9","66.7","73.1","0.0","44.9","68",44.9
"52",Oakwood-Vaughan,"76.6","47.3","50.7","61.7","0.0","29.2","52",29.2
"131",O'Connor-Parkview,"74.5","48.4","58.0","61.2","0.0","29.0","131",29.0
"98",Old East York,"68.1","32.7","37.5","50.4","0.0","18.9","98",18.9
"14",Parkwoods-Donalda,"71.5","39.7","45.5","56.1","0.0","26.2","14",26.2
"89",Playter Estates-Danforth,"67.0","27.2","36.1","55.1","0.0","21.0","89",21.0
"145",Princess-Rosethorn,"53.2","10.0","34.8","39.2","0.0","9.0","145",9.0
"151",Rexdale-Kipling,"78.1","52.0","46.7","61.7","0.0","25.3","151",25.3
"86",Riverdale,"60.6","38.3","38.8","51.7","0.0","18.3","86",18.3
"77",Rockcliffe-Smythe,"72.5","50.0","46.9","59.1","0.0","28.6","77",28.6
"102",Roncesvalles,"65.3","44.8","53.4","54.9","0.0","24.5","102",24.5
"60",Rosedale,"42.1","17.6","27.1","33.7","0.0","9.8","60",9.8
"125",Rustic/Pelmo Park/Humberlea,"77.2","69.9","60.9","67.0","0.0","29.8","125",29.8
"24",Scarborough Village,"80.9","65.3","65.0","69.5","0.0","40.1","24",40.1
"103",South Parkdale/King West,"53.3","47.3","41.1","47.4","0.0","22.0","103",22.0
"113",St. Andrew-Windfields,"52.9","27.9","30.8","43.8","0.0","15.1","113",15.1
"140",Stonegate-Queensway,"66.0","30.5","38.9","51.9","0.0","17.3","140",17.3
"71",Tam O'Shanter-Sullivan,"79.3","43.6","43.4","63.0","0.0","30.2","71",30.2
"93",The Beaches,"53.8","19.6","36.4","42.9","0.0","14.1","93",14.1
"130",Thorncliffe Park,"86.7","55.7","63.3","65.8","0.0","47.3","130",47.3
"80",University/Annex,"48.2","36.8","29.1","43.0","0.0","17.8","80",17.8
"110",Victoria Village,"80.5","55.8","51.2","67.4","0.0","31.8","110",31.8
"40",Waterfront Communities -The Island,"33.9","32.3","21.5","30.1","0.0","12.1","40",12.1
"26",West Hill,"75.1","60.4","51.9","64.4","0.0","29.4","26",29.4
"154",West Humber-Clairville,"60.4","35.7","30.9","45.4","0.0","20.2","154",20.2
"118",Westminster-Branson,"80.9","51.5","43.4","63.5","0.0","36.6","118",36.6
"75",Weston,"83.5","52.6","57.2","68.5","0.0","38.2","75",38.2
"70",Wexford-Maryvale,"74.2","42.9","47.9","60.2","0.0","25.1","70",25.1
"134",Willowdale East/Newtonbrook East,"52.6","27.8","40.1","45.2","0.0","20.9","134",20.9
"116",Willowdale West/Newtonbrook West,"63.8","35.5","39.4","52.5","0.0","26.0","116",26.0
"148",Willowridge-Martingrove-Richview,"63.8","42.3","46.1","54.0","0.0","21.6","148",21.6
"21",Woburn,"73.3","57.3","48.6","60.2","0.0","29.3","21",29.3
"92",Woodbine Corridor/Greenwood-Coxwell,"65.0","40.5","44.7","53.6","0.0","20.9","92",20.9
"96",Woodbine-Lumsden,"69.5","36.8","29.5","52.6","0.0","21.2","96",21.2
"64",Wychwood,"65.8","35.7","41.2","56.0","0.0","23.0","64",23.0
"58",Yonge-Eglinton,"54.6","26.7","33.3","44.8","0.0","15.9","58",15.9
"61",Yonge-St. Clair,"52.4","21.0","41.8","42.4","0.0","16.2","61",16.2
"122",Yorkdale-Glen Park,"65.2","40.3","36.2","51.6","0.0","20.6","122",20.6
"38",Toronto,"58.7","37.3","39.1","49.1","0.0","19.1","38",19.1
"17",Agincourt/Malvern,"66.4","41.8","34.5","52.6","0.0","24.2","17",24.2
"18",Agincourt/Malvern,"66.4","41.8","34.5","52.6","0.0","24.2","18",24.2
"136",Bayview Woods-Steeles/Hillcrest Village,"62.5","42.2","39.9","54.9","0.0","21.9","136",21.9
"90",Danforth Village-East York,"67.0","32.5","40.2","52.3","0.0","18.6","90",18.6
"108",Don Valley Village/Pleasant View,"69.3","36.2","42.7","54.8","0.0","24.5","108",24.5
"67",Dovercourt/Davenport/Junction,"63.4","36.1","38.8","51.8","0.0","22.0","67",22.0
"104",Dufferin Grove/Little Portugal,"53.4","31.1","33.3","45.3","0.0","21.0","104",21.0
"72",L'Amoreaux/Steeles/Milliken,"74.6","45.7","42.2","61.9","0.0","28.7","72",28.7
"30",L'Amoreaux/Steeles/Milliken,"74.6","45.7","42.2","61.9","0.0","28.7","30",28.7
"79",Little Italy/Trinity-Bellwoods,"52.9","29.0","20.0","44.2","0.0","18.3","79",18.3
"84",Moss Park/Regent Park,"57.2","62.1","55.7","56.4","0.0","25.7","84",25.7
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"78.7","57.9","48.7","60.2","0.0","34.3","152",34.3
"90",Playter Estates-Danforth,"67.0","27.2","36.1","55.1","0.0","21.0","90",21.0
"88",Riverdale,"60.6","38.3","38.8","51.7","0.0","18.3","88",18.3
"156",Rustic/Pelmo Park/Humberlea,"77.2","69.9","60.9","67.0","0.0","29.8","156",29.8
"63",University/Annex,"48.2","36.8","29.1","43.0","0.0","17.8","63",17.8
"117",Willowdale West/Newtonbrook West,"63.8","35.5","39.4","52.5","0.0","26.0","117",26.0
"91",Woodbine Corridor/Greenwood-Coxwell,"65.0","40.5","44.7","53.6","0.0","20.9","91",20.9
